university_name,program_name,degree_type,degree_level,program_category,duration_years,tuition_fees,country,city,specializations,prerequisites,gpa_requirement_min,language_requirements,faculty_research_interests,career_outcomes,confidence_score,last_updated,source_url,application_deadlines,application_fee,campus_facilities,cost_of_living_estimate,data_completeness,program_description,rankings,research_opportunities,scholarships_available,student_reviews_rating,university_id
University of Oxford,MSc in Advanced Computer Science,Master of Science,Masters,Computer Science,1.0,"{""domestic_per_year"": null, ""international_per_year"": null, ""currency"": ""USD"", ""additional_fees"": null}",United Kingdom,Oxford,"[""MSc Advanced Computer Science (Artificial Intelligence)"", ""MSc Advanced Computer Science (Foundations of Computer Science)""]","[""First-class undergraduate degree with honours in computer science or mathematics"", ""Background in mathematical notation"", ""Basic skills in computer programming"", ""Experience with programming projects (employment, study, or self-directed)""]",3.7,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}","[""Machine Learning"", ""Computer Security"", ""Quantum Information"", ""Formal Verification"", ""Computational Biology"", ""Computational Learning Theory"", ""Geometric Deep Learning"", ""Probabilistic Model Checking"", ""Quantum Processes and Computation""]","[""PhD-level studies at leading universities"", ""Careers in computing-based industries""]",1.0,2025-11-28T06:57:30.548000,https://www.ox.ac.uk/admissions/graduate/courses/msc-advanced-computer-science,"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],,1.0,"The MSc in Advanced Computer Science is a full-time, twelve-month taught course covering advanced topics like machine learning, computer security, quantum information, and formal verification, combining theory and practice with a strong mathematical foundation. The course teaches mathematical principles of specification, design and efficient implementation of computing technologies, including models of computation and data, and mathematical analysis of programs and algorithms. It aims to provide a foundation for professional careers in computing-based industries, enhance skills of professionals already working in these industries, and provide a foundation for research into computing theory.","{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],,034e4add99a2
University of Cambridge,MPhil in Advanced Computer Science,Master of Philosophy,Masters,Computer Science,0.75,"{""domestic_per_year"": null, ""international_per_year"": null, ""currency"": ""USD"", ""additional_fees"": null}",United Kingdom,Cambridge,"[""Networking and systems measurements"", ""Category theory"", ""Natural language processing""]","[""Relevant experience at first-degree level""]",,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}",[],"[""PhD programmes in computer science"", ""Leading roles in industrial research"", ""Leading roles in public-sector research""]",0.85,2025-11-28T06:57:30.558000,https://www.postgraduate.study.cam.ac.uk/courses/directory/cscsmpacs,"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],,0.75,"The aim of the course is to provide preparation appropriate for undertaking a PhD programme in computer science. Students select five taught modules from a wide range of advanced topics in computer science from networking and systems measurements to category theory, and topics in natural language processing. Additionally, students take a mandatory, ungraded course in research skills which includes core and optional topics. Students also undertake a research project over two terms and submit a project report in early June. Research topic selection and planning occurs in the first term and the work is undertaken in subsequent terms. The taught modules are delivered in a range of styles including traditional lecture courses, lecture courses with associated practical classes, reading clubs, and seminar style modules.","{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],,cd1e97a94688
Imperial College London,MSc Computing,Master of Science,Masters,Computer Science,1.0,"{""domestic_per_year"": 24600, ""international_per_year"": 46000, ""currency"": ""USD"", ""additional_fees"": null}",United Kingdom,London,"[""Principles and Practice of Programming"", ""Computer Systems"", ""Software Systems Engineering"", ""Logic and Mathematics for Computing"", ""Advanced Computer Architecture"", ""Computational Finance"", ""Scheduling and Resource Allocation"", ""Principles of Distributed Ledgers"", ""Databases"", ""Computer Vision"", ""Graphics"", ""Introduction to Machine Learning"", ""Logic-Based Learning"", ""Network and Web Security"", ""Advanced Computer Graphics"", ""Cryptography Engineering"", ""Probabilistic Inference"", ""Computer Networks and Distributed Systems"", ""Software Engineering Design"", ""Algorithms"", ""Quantum Computing"", ""AI Ventures""]","[""First-class degree in any subject outside computing or computer science""]",,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}","[""Programming paradigms"", ""Computer systems"", ""Software engineering"", ""Logic and mathematics"", ""Computer architecture"", ""Computational finance"", ""Distributed ledgers"", ""Databases"", ""Computer vision"", ""Graphics"", ""Machine learning"", ""Network security"", ""Cryptography"", ""Probabilistic inference"", ""Distributed systems"", ""Algorithms"", ""Quantum computing"", ""AI applications""]","[""Application/web development"", ""Networking"", ""Artificial Intelligence"", ""Media"", ""Finance"", ""Robotics"", ""Computer games"", ""Chip design"", ""Cyber security"", ""Data management"", ""Bio-medical systems"", ""Transport""]",1.0,2025-11-28T06:57:30.562000,https://www.imperial.ac.uk/study/courses/postgraduate-taught/computing/,"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],,0.875,"Undertake intensive training in computer science and acquire the core computing skills needed for a career in the computer industry. Suitable for graduates of disciplines other than computing, this one-year programme is tailored towards those looking to add computing qualifications to their portfolio. It's also suitable if you're looking to retrain in IT or prepare for further PhD study. This course will help you acquire practical skills in basic and specialised topics in computing. You'll also explore the major paradigms of programming – declarative, imperative and object oriented. A major focus of your studies will be developing a large software project. You'll also apply your course knowledge on an extended individual project. This work will help improve your competency in group cooperation, literature search, technical presentation and report writing.","{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],,e34025a23097
ETH Zurich,Master of Science in Computer Science,Master of Science,Masters,Computer Science,2.0,"{""domestic_per_year"": null, ""international_per_year"": null, ""currency"": ""USD"", ""additional_fees"": null}",Switzerland,Zurich,"[""Data Management Systems"", ""Machine Intelligence"", ""Secure and Reliable Systems"", ""Visual and Interactive Computing"", ""Theoretical Computer Science""]","[""Computer Science or a related field such as Electrical Engineering (and Information Technology)"", ""Mathematics"", ""Mechanical Engineering"", ""Physics""]",,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}","[""Machine Learning"", ""Artificial Intelligence"", ""Data Management"", ""Secure Systems"", ""Visual Computing"", ""Interactive Computing"", ""Theoretical Computer Science""]",[],0.975,2025-11-28T06:57:30.565000,https://ethz.ch/en/studies/master/degree-programmes/engineering-sciences/computer-science.html,"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],,0.875,"The Master's degree program in Computer Science at ETH Zurich offers a profound and in-depth education in several core areas of computer science. The program guides each individual student in taking a meaningful path through the variety of course offers and designing a profile that matches both personal inclinations and prospective career opportunities. The Master's degree program combines theory and hands-on practice to provide students with a well-rounded education. The study program is closely connected to the department's world-class research groups, led by an internationally diverse faculty of over 45 professors. Students have ample opportunities to quickly participate in exciting research projects, often in collaboration with industry or with the local research centers of international companies. The possibility of doing an interdisciplinary master's thesis in cooperation with other ETH departments offers further fascinating opportunities – from building flying robots or developing cell simulations to exploring the possibilities of machine learning and artificial intelligence.","{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],,5acc350ce7b4
University College London,Computer Science MSc,Master of Science,Masters,Computer Science,1.0,"{""domestic_per_year"": 21500, ""international_per_year"": 42700, ""currency"": ""USD"", ""additional_fees"": null}",United Kingdom,London,"[""Functional Programming"", ""Interaction Design"", ""Software Engineering"", ""Machine Learning"", ""Entrepreneurship""]","[""Upper second-class UK Bachelor's degree (or international equivalent) in a subject other than computer science or information technology"", ""Suitable mathematical skills to at least Mathematics A-level standard"", ""Analytical skills"", ""Standard computational thinking skills""]",3.3,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}","[""Computer Science Research"", ""Artificial Intelligence"", ""Machine Learning"", ""Software Engineering"", ""Computer Architecture"", ""Algorithmics"", ""Interaction Design""]","[""Developer"", ""Software Engineer"", ""IT roles in leading companies"", ""Research positions"", ""Academic careers"", ""Roles at companies like Amazon, American Express, BNP Paribas, IBM, PwC""]",1.0,2025-11-28T06:57:30.568000,https://www.ucl.ac.uk/prospective-students/graduate/taught-degrees/computer-science-msc,"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],,1.0,"A one-year conversion programme that teaches everything from programming to app engineering while providing opportunities to create solutions for industrial or research clients. The programme is designed for graduates from non-computer science backgrounds who want to develop computer science skills and enhance their career prospects in this growing field. Students learn programming, app engineering, computer architecture, and algorithmics, with opportunities to work on real-world projects with industry partners or research groups.","{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],,b518666df0bb
University of Oxford,Advanced Computer Science MSc,Master of Science,Masters,Computer Science,1.0,"{""domestic_per_year"": null, ""international_per_year"": null, ""currency"": ""USD"", ""additional_fees"": null}",United Kingdom,Oxford,[],[],,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}",[],[],0.375,2025-11-27T10:10:06.830000,https://www.ox.ac.uk/admissions/graduate/courses/courses-a-z-listing/,"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],,0.375,,"{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],,034e4add99a2
University of Oxford,MSc in African Studies,Master of Science,Masters,Other,1.0,"{""domestic_per_year"": null, ""international_per_year"": null, ""currency"": ""USD"", ""additional_fees"": null}",United Kingdom,Oxford,"[""Various option papers covering specific themes and disciplines in African Studies""]","[""First-class or strong upper second-class undergraduate degree with honours in relevant discipline in humanities or social sciences"", ""Substantial professional experience in relevant fields or work in African country (considered)""]",3.5,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}","[""Research methodologies and strategies for African studies"", ""Politics of researching and writing on Africa"", ""Evolution of African states"", ""Colonial rule and post-colonial development"", ""Social and economic change in Africa"", ""Contemporary African politics and globalization""]","[""NGOs"", ""Civil service"", ""International organizations"", ""Media"", ""Doctoral studies in Politics and International Relations, Development Studies, History, Anthropology, Geography, or interdisciplinary DPhil in Area Studies (Africa)""]",1.0,2025-11-27T10:10:06.831000,https://www.ox.ac.uk/admissions/graduate/courses/msc-african-studies,"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],,1.0,"The MSc in African Studies provides a foundation for those who wish to expand their knowledge of African studies. It can be taken as a stand-alone introduction to current debates about Africa, or as preparation for doctoral research. The program includes two core papers, two option papers, and a dissertation. Students dedicate six hours per week to classes and lectures and meet their thesis supervisor once every fortnight.","{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],,034e4add99a2
University of Oxford,Doctor of Philosophy in Ancient History,Doctor of Philosophy,PhD,Computer Science,4.0,"{""domestic_per_year"": null, ""international_per_year"": null, ""currency"": ""USD"", ""additional_fees"": null}",United Kingdom,Oxford,"[""Mithraism studies"", ""Roman military history"", ""Greek city development in Roman period"", ""Flavian Rome and Jewish history"", ""Greek religious life in Roman Asia Minor"", ""Greek historiography"", ""Athenian power in 5th century BC"", ""Roman music and spectacle"", ""Roman interactions with non-Italian peoples"", ""Greek art and religion"", ""Athenians abroad"", ""Sicilian socio-cultural identities"", ""Early Principate conceptions"", ""Roman political thought"", ""Aeolian ethnogenesis"", ""Rhodes religious life"", ""Asia Minor socio-ecosystems""]","[""Master's degree with first-class or high upper second-class honors in a relevant subject"", ""First-class or strong upper second-class undergraduate degree with honors in classics or similar field with substantial ancient history components"", ""Competence in Latin and/or Ancient Greek"", ""Satisfactory knowledge of ancient languages appropriate to intended research""]",3.6,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}","[""Classical religion and art"", ""Roman military history"", ""Greek urban development"", ""Jewish-Roman relations"", ""Greek religious practices"", ""Greek historiography"", ""Athenian power dynamics"", ""Roman cultural history"", ""Roman imperial expansion"", ""Greek art history"", ""Greek diaspora studies"", ""Sicilian cultural identity"", ""Roman political philosophy"", ""Greek ethnogenesis"", ""Hellenistic religion"", ""Roman environmental history""]","[""University teaching and research positions (56% of graduates)"", ""Teaching"", ""Publishing"", ""Administration"", ""Business"", ""Other professions""]",1.0,2025-11-27T10:10:06.835000,https://www.ox.ac.uk/admissions/graduate/courses/dphil-ancient-history,"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],,1.0,"The DPhil in Ancient History is a research degree intended to prepare candidates for careers in research and teaching at university level worldwide. The program involves composing a substantial dissertation of up to 100,000 words based on original research on a chosen subject. The program emphasizes developing research skills, ancient and modern language proficiency, and provides teaching experience opportunities. Students attend seminars and academic activities at the Ioannou Centre for Classical and Byzantine Studies.","{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],,034e4add99a2
University of Oxford,Doctor of Philosophy in Ancient History,Doctor of Philosophy,PhD,Computer Science,4.0,"{""domestic_per_year"": null, ""international_per_year"": null, ""currency"": ""USD"", ""additional_fees"": null}",United Kingdom,Oxford,"[""Ancient Greek History"", ""Roman History"", ""Classical Archaeology"", ""Ancient Religion"", ""Ancient Political Thought"", ""Ancient Social History"", ""Ancient Cultural History""]","[""Master's degree with first-class or high upper second-class honors in a relevant subject"", ""First-class or strong upper second-class undergraduate degree with honors in classics or similar field with substantial ancient history components"", ""Competence in Latin and/or Ancient Greek"", ""Satisfactory knowledge of ancient languages appropriate to intended research""]",3.6,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}","[""Mithraism"", ""Roman Republican Army"", ""Greek city development in Roman period"", ""Flavian Rome"", ""Greek religious life in Roman Asia Minor"", ""Greek historiography"", ""Athenian power"", ""Roman music and spectacle"", ""Roman interactions with non-Italian peoples"", ""Greek art and religion"", ""Ancient socio-cultural identities"", ""Roman political thought"", ""Aeolian ethnogenesis"", ""Classical and Hellenistic Rhodes"", ""Roman period socio-ecosystems""]","[""University teaching and research positions"", ""Academic research"", ""Teaching"", ""Publishing"", ""Administration"", ""Business"", ""Other professions""]",1.0,2025-11-27T10:10:06.837000,https://www.ox.ac.uk/admissions/graduate/courses/dphil-ancient-history-pt,"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],,1.0,"The DPhil in Ancient History is a research degree intended to prepare candidates for careers in research and teaching at university level worldwide where Classical subjects are studied. The program involves composing a substantial dissertation of up to 100,000 words based on new research on a subject of the student's choice. The program emphasizes developing research skills, acquiring knowledge of relevant ancient and modern languages, and provides teaching experience and career development support. Students can study full-time or part-time with both modes requiring attendance in Oxford.","{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],,034e4add99a2
University of Oxford,MSt in Ancient Philosophy,Master of Science,Graduate,Computer Science,1.0,"{""domestic_per_year"": null, ""international_per_year"": null, ""currency"": ""USD"", ""additional_fees"": null}",United Kingdom,Oxford,"[""Plato: Republic"", ""Plato on Knowledge, Language & Reality in the Theaetetus and Sophist"", ""Aristotle: Nicomachean Ethics"", ""Aristotle on Nature, Life and Mind"", ""Knowledge and Scepticism in Hellenistic Philosophy"", ""Latin philosophy""]","[""First-class or strong upper second-class undergraduate degree with honours in philosophy, classics or closely-related discipline""]",3.6,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}","[""Plato"", ""Aristotle"", ""Hellenistic philosophy"", ""Latin philosophy"", ""Ancient Greek philosophy"", ""Stoic philosophy""]","[""Doctoral programmes in philosophy"", ""Academic careers"", ""Banking"", ""Information technology"", ""Law"", ""Management consultancy"", ""Teaching"", ""Public service""]",1.0,2025-11-27T10:10:06.839000,https://www.ox.ac.uk/admissions/graduate/courses/mst-ancient-philosophy,"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],,1.0,"The MSt in Ancient Philosophy is a taught course offering advanced study in ancient philosophy through seminars, supervisions, and a thesis, with topics including Plato, Aristotle, Hellenistic thought, and Latin philosophy. The course aims to provide a foundation for pursuing doctoral work in the area. Students take two subject options and write a thesis of 10,000 to 15,000 words.","{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],,034e4add99a2
