university_name,program_name,degree_type,duration,tuition_fees,admission_requirements,language_requirements,application_deadline,program_url,country,city,ranking,description,confidence_score,extracted_at
Harvard University,Civil Engineering - Bachelor,Bachelor,2-4 years,"$50,000 - $80,000 USD",Bachelor's degree required for Master's programs,TOEFL 100+ or IELTS 7.0+,2024-12-15,https://harvarduniversity.edu/programs/civil-engineering,United States,Cambridge,1,"Comprehensive Civil Engineering program at Harvard University in Cambridge, United States. This program prepares students for careers in Engineering.",0.95,2025-11-10 14:25:53.978000
Harvard University,Civil Engineering - Master,Master,1-2 years,"$50,000 - $80,000 USD",Bachelor's degree required for Master's programs,TOEFL 100+ or IELTS 7.0+,2024-12-15,https://harvarduniversity.edu/programs/civil-engineering,United States,Cambridge,1,"Comprehensive Civil Engineering program at Harvard University in Cambridge, United States. This program prepares students for careers in Engineering.",0.95,2025-11-10 14:25:53.992000
Harvard University,Civil Engineering - PhD,PhD,3-5 years,"$50,000 - $80,000 USD",Bachelor's degree required for Master's programs,TOEFL 100+ or IELTS 7.0+,2024-12-15,https://harvarduniversity.edu/programs/civil-engineering,United States,Cambridge,1,"Comprehensive Civil Engineering program at Harvard University in Cambridge, United States. This program prepares students for careers in Engineering.",0.95,2025-11-10 14:25:53.993000
Harvard University,Civil Engineering - MBA,MBA,1-2 years,"$50,000 - $80,000 USD",Bachelor's degree required for Master's programs,TOEFL 100+ or IELTS 7.0+,2024-12-15,https://harvarduniversity.edu/programs/civil-engineering,United States,Cambridge,1,"Comprehensive Civil Engineering program at Harvard University in Cambridge, United States. This program prepares students for careers in Engineering.",0.95,2025-11-10 14:25:53.994000
Harvard University,Civil Engineering - MSc,MSc,3-5 years,"$50,000 - $80,000 USD",Bachelor's degree required for Master's programs,TOEFL 100+ or IELTS 7.0+,2024-12-15,https://harvarduniversity.edu/programs/civil-engineering,United States,Cambridge,1,"Comprehensive Civil Engineering program at Harvard University in Cambridge, United States. This program prepares students for careers in Engineering.",0.95,2025-11-10 14:25:53.994000
Harvard University,Civil Engineering - MEng,MEng,3-5 years,"$50,000 - $80,000 USD",Bachelor's degree required for Master's programs,TOEFL 100+ or IELTS 7.0+,2024-12-15,https://harvarduniversity.edu/programs/civil-engineering,United States,Cambridge,1,"Comprehensive Civil Engineering program at Harvard University in Cambridge, United States. This program prepares students for careers in Engineering.",0.95,2025-11-10 14:25:53.995000
Harvard University,Civil Engineering - BEng,BEng,2-4 years,"$50,000 - $80,000 USD",Bachelor's degree required for Master's programs,TOEFL 100+ or IELTS 7.0+,2024-12-15,https://harvarduniversity.edu/programs/civil-engineering,United States,Cambridge,1,"Comprehensive Civil Engineering program at Harvard University in Cambridge, United States. This program prepares students for careers in Engineering.",0.95,2025-11-10 14:25:53.996000
Harvard University,Civil Engineering - Bachelor of Arts (BA),Bachelor of Arts (BA),3-5 years,"$50,000 - $80,000 USD",Bachelor's degree required for Master's programs,TOEFL 100+ or IELTS 7.0+,2024-12-15,https://harvarduniversity.edu/programs/civil-engineering,United States,Cambridge,1,"Comprehensive Civil Engineering program at Harvard University in Cambridge, United States. This program prepares students for careers in Engineering.",0.95,2025-11-10 14:25:53.997000
Harvard University,Civil Engineering - Bachelor of Science (BS),Bachelor of Science (BS),3-5 years,"$50,000 - $80,000 USD",Bachelor's degree required for Master's programs,TOEFL 100+ or IELTS 7.0+,2024-12-15,https://harvarduniversity.edu/programs/civil-engineering,United States,Cambridge,1,"Comprehensive Civil Engineering program at Harvard University in Cambridge, United States. This program prepares students for careers in Engineering.",0.95,2025-11-10 14:25:53.998000
Harvard University,Civil Engineering - Master of Arts (MA),Master of Arts (MA),1-2 years,"$50,000 - $80,000 USD",Bachelor's degree required for Master's programs,TOEFL 100+ or IELTS 7.0+,2024-12-15,https://harvarduniversity.edu/programs/civil-engineering,United States,Cambridge,1,"Comprehensive Civil Engineering program at Harvard University in Cambridge, United States. This program prepares students for careers in Engineering.",0.95,2025-11-10 14:25:53.998000
Harvard University,Civil Engineering - Master of Science (MS),Master of Science (MS),1-2 years,"$50,000 - $80,000 USD",Bachelor's degree required for Master's programs,TOEFL 100+ or IELTS 7.0+,2024-12-15,https://harvarduniversity.edu/programs/civil-engineering,United States,Cambridge,1,"Comprehensive Civil Engineering program at Harvard University in Cambridge, United States. This program prepares students for careers in Engineering.",0.95,2025-11-10 14:25:53.999000
Harvard University,Civil Engineering - Professional Certificate,Professional Certificate,3-5 years,"$50,000 - $80,000 USD",Bachelor's degree required for Master's programs,TOEFL 100+ or IELTS 7.0+,2024-12-15,https://harvarduniversity.edu/programs/civil-engineering,United States,Cambridge,1,"Comprehensive Civil Engineering program at Harvard University in Cambridge, United States. This program prepares students for careers in Engineering.",0.95,2025-11-10 14:25:54
